date,listeners,streams,followers
2018-01-14,6984,14442,2479
2018-01-13,6906,15226,2477
2018-01-12,8342,19822,2477
2018-01-11,8791,19822,2476
2018-01-10,8437,19586,2474
2018-01-09,8348,19475,2473
2018-01-08,8219,18812,2472
2018-01-07,6858,15132,2472
2018-01-06,6862,15638,2467
2018-01-05,8286,18875,2466
2018-01-04,8594,19252,2464
2018-01-03,8577,19219,2466
2018-01-02,7537,16569,2466
2018-01-01,5156,10981,2465
2017-12-31,5310,12197,2465
2017-12-30,6096,14745,2464
2017-12-29,7073,17205,2464
2017-12-28,7603,17769,2463
2017-12-27,7096,15466,2461
2017-12-26,5681,12657,2459
2017-12-25,4330,9419,2459
2017-12-24,4474,10234,2458
2017-12-23,5436,12934,2458
2017-12-22,6711,15024,2458
2017-12-21,7434,16652,2458
2017-12-20,7544,16856,2458
2017-12-19,7300,15704,2458
2017-12-18,7488,15748,2458
2017-12-17,5326,10871,2459
2017-12-16,5624,12207,2459
2017-12-15,6884,15837,2457
2017-12-14,7859,17491,2456
2017-12-13,8524,17972,2455
2017-12-12,8463,17829,2455
2017-12-11,8930,18073,2455
2017-12-10,6086,12085,2453
2017-12-09,6001,14156,2452
2017-12-08,7042,15579,2454
2017-12-07,7731,17667,2453
2017-12-06,8100,17550,2452
2017-12-05,8422,18527,2452
2017-12-04,8456,18116,2452
2017-12-03,5894,13261,2450
2017-12-02,6024,13978,2445
2017-12-01,7354,16575,2444
2017-11-30,8039,18602,2442
2017-11-29,8229,18511,2443
2017-11-28,8225,18154,2443
2017-11-27,8238,16719,2443
2017-11-26,5279,11763,2441
2017-11-25,5549,12999,2442
2017-11-24,6720,15416,2440
2017-11-23,8959,19299,2438
2017-11-22,8108,18326,2440
2017-11-21,7906,18265,2440
2017-11-20,7744,16651,2438
2017-11-19,5569,12005,2436
2017-11-18,5904,13366,2436
2017-11-17,7294,16945,2435
2017-11-16,8172,18778,2435
2017-11-15,7839,17580,2437
2017-11-14,8159,18256,2436
2017-11-13,7917,16383,2436
2017-11-12,5350,10917,2434
2017-11-11,5598,13747,2434
2017-11-10,6925,16474,2431
2017-11-09,8611,18863,2429
2017-11-08,8462,19201,2431
2017-11-07,7949,17485,2431
2017-11-06,7805,16745,2431
2017-11-05,6139,12582,2430
2017-11-04,6154,14191,2429
2017-11-03,7589,17743,2428
2017-11-02,8271,19513,2426
